Method,Name,Error,Occurrences
GET,/api/cart/update/anonymous-1014/Watson/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-888/EMM/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1396/STAN-1/2,[Errno 104] Connection reset by peer,1
POST,/api/user/login,Remote end closed connection without response,19
GET,/api/cart/update/anonymous-1363/RMC/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1135/RMC/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-761/RED/1,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-776/SHCE/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1295,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1474/EMM/1,Remote end closed connection without response,1
GET,/api/shipping/calc/3396612,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/calc/3396612,1
GET,/api/cart/cart/anonymous-1262,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-1391/Watson/2,[Errno 104] Connection reset by peer,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/cities/ru,12
GET,/api/cart/update/anonymous-1075/RED/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-809/HPTD/1,Remote end closed connection without response,1
GET,/api/ratings/api/fetch/RMC,Remote end closed connection without response,3
GET,/api/catalogue/product/RMC,[Errno 104] Connection reset by peer,6
GET,/api/ratings/api/fetch/EPE,[Errno 104] Connection reset by peer,2
GET,/api/ratings/api/fetch/EPE,Remote end closed connection without response,11
GET,/api/cart/add/anonymous-1424/RED/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-999/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-716/STAN-1/1,Remote end closed connection without response,1
GET,/api/catalogue/product/RED,[Errno 104] Connection reset by peer,3
GET,/api/ratings/api/fetch/EMM,Remote end closed connection without response,16
GET,/api/cart/cart/anonymous-620,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/2,Remote end closed connection without response,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/codes,811
GET,/api/cart/update/anonymous-927/HPTD/2,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1001/UHJ/2,[Errno 104] Connection reset by peer,1
PUT,/api/ratings/api/rate/EPE/3,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1393/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1364/Watson/1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/3,Remote end closed connection without response,1
POST,/api/shipping/confirm/anonymous-5,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/confirm/anonymous-5,1
GET,/api/cart/add/anonymous-1143/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1362/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-971,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-642/HPTD/1,Remote end closed connection without response,1
GET,/api/catalogue/product/STAN-1,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/EPE/5,Remote end closed connection without response,1
GET,/api/cart/update/anonymous-1045/STAN-1/2,[Errno 104] Connection reset by peer,1
GET,/api/shipping/calc/3342595,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/calc/3342595,1
GET,/api/cart/add/anonymous-1232/UHJ/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/STAN-1,[Errno 104] Connection reset by peer,3
GET,/api/cart/cart/anonymous-1032,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/Watson,[Errno 104] Connection reset by peer,2
GET,/api/cart/add/anonymous-663/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-1286/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1220,[Errno 104] Connection reset by peer,1
GET,/,[Errno 104] Connection reset by peer,12
GET,/api/cart/update/anonymous-883/Watson/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1077,Remote end closed connection without response,1
GET,/api/shipping/calc/5376958,504 Server Error: Gateway Time-out for url: http://13.87.73.207/api/shipping/calc/5376958,1
GET,/api/cart/add/anonymous-1413/HPTD/1,[Errno 104] Connection reset by peer,1
